timestamp,fps,latency_ms,ram_usage_percent,cpu_usage_percent,temperature,num_detections
2026-04-05T18:16:02.882,10.0,100.41,79.3,77.3,0.0,8
2026-04-05T18:16:02.988,10.0,100.0,79.3,77.3,0.0,8
2026-04-05T18:16:03.098,9.99,100.7,79.3,83.8,0.0,7
2026-04-05T18:16:03.210,9.97,102.86,79.3,83.8,0.0,8
2026-04-05T18:16:03.318,9.98,98.84,79.3,83.8,0.0,8
2026-04-05T18:16:03.421,10.0,98.29,79.3,83.8,0.0,6
2026-04-05T18:16:03.526,10.04,95.82,79.3,79.1,0.0,6
2026-04-05T18:16:03.630,10.07,96.62,79.3,79.1,0.0,7
2026-04-05T18:16:03.738,10.08,98.75,79.3,79.1,0.0,5
2026-04-05T18:16:03.845,10.08,99.0,79.3,79.1,0.0,6
2026-04-05T18:16:03.950,10.1,96.73,79.3,79.1,0.0,5
2026-04-05T18:16:04.058,10.1,99.56,79.3,81.2,0.0,6
2026-04-05T18:16:04.167,10.09,99.53,79.3,81.2,0.0,5
2026-04-05T18:16:04.277,10.07,101.63,79.3,81.2,0.0,5
2026-04-05T18:16:04.383,10.08,97.81,79.3,81.2,0.0,5
2026-04-05T18:16:04.488,10.12,95.93,79.3,81.2,0.0,5
2026-04-05T18:16:04.594,10.09,101.6,79.2,78.1,0.0,5
2026-04-05T18:16:04.701,10.09,99.14,79.2,78.1,0.0,5
2026-04-05T18:16:04.810,10.08,99.93,79.2,78.1,0.0,6
2026-04-05T18:16:04.910,10.12,95.18,79.2,78.1,0.0,6
2026-04-05T18:16:05.014,10.12,98.58,79.2,78.1,0.0,6
2026-04-05T18:16:05.122,10.08,103.4,79.3,81.2,0.0,5
2026-04-05T18:16:05.226,10.08,99.0,79.3,81.2,0.0,5
2026-04-05T18:16:05.341,9.98,108.81,79.3,81.2,0.0,7
2026-04-05T18:16:05.444,10.02,96.78,79.3,81.2,0.0,7
2026-04-05T18:16:05.550,10.03,98.6,79.3,79.8,0.0,6
2026-04-05T18:16:05.651,10.1,93.11,79.3,79.8,0.0,7
2026-04-05T18:16:05.759,10.09,99.52,79.3,79.8,0.0,7
2026-04-05T18:16:05.871,10.05,102.88,79.3,79.8,0.0,8
2026-04-05T18:16:05.988,9.97,107.64,79.3,79.8,0.0,8
2026-04-05T18:16:06.101,9.94,103.28,79.3,81.8,0.0,10
2026-04-05T18:16:06.205,9.97,97.88,79.3,81.8,0.0,9
2026-04-05T18:16:06.311,9.97,100.49,79.3,81.8,0.0,9
2026-04-05T18:16:06.426,9.91,106.03,79.3,81.8,0.0,7
2026-04-05T18:16:06.533,9.9,102.05,79.3,81.8,0.0,8
2026-04-05T18:16:06.661,9.73,118.22,79.3,78.9,0.0,7
2026-04-05T18:16:06.771,9.74,101.61,79.3,78.9,0.0,6
2026-04-05T18:16:06.880,9.77,99.46,79.3,78.9,0.0,7
2026-04-05T18:16:06.993,9.75,104.41,79.3,78.9,0.0,7
2026-04-05T18:16:07.101,9.78,99.34,79.3,85.9,0.0,7
2026-04-05T18:16:07.213,9.77,103.26,79.3,85.9,0.0,6
2026-04-05T18:16:07.322,9.8,99.38,79.3,85.9,0.0,8
2026-04-05T18:16:07.431,9.82,100.21,79.3,85.9,0.0,8
2026-04-05T18:16:07.535,9.85,98.75,79.3,85.9,0.0,7
2026-04-05T18:16:07.646,9.85,101.94,79.3,77.3,0.0,9
2026-04-05T18:16:07.748,9.89,96.54,79.3,77.3,0.0,7
2026-04-05T18:16:07.853,9.91,99.3,79.3,77.3,0.0,7
2026-04-05T18:16:07.963,9.91,101.56,79.3,77.3,0.0,7
2026-04-05T18:16:08.075,9.89,102.35,79.3,78.1,0.0,8
2026-04-05T18:16:08.178,9.92,98.06,79.3,78.1,0.0,8
2026-04-05T18:16:08.283,9.93,99.86,79.3,78.1,0.0,7
2026-04-05T18:16:08.399,9.87,106.54,79.3,78.1,0.0,6
2026-04-05T18:16:08.508,9.88,100.47,79.3,78.1,0.0,9
2026-04-05T18:16:08.615,9.9,99.58,79.3,80.5,0.0,8
2026-04-05T18:16:08.719,9.92,98.42,79.3,80.5,0.0,7
2026-04-05T18:16:08.829,9.92,101.12,79.3,80.5,0.0,8
2026-04-05T18:16:08.939,9.92,101.09,79.3,80.5,0.0,9
2026-04-05T18:16:09.045,9.95,97.47,79.3,80.5,0.0,8
2026-04-05T18:16:09.150,9.96,99.75,79.3,78.9,0.0,9
