timestamp,fps,latency_ms,ram_usage_percent,cpu_usage_percent,temperature,num_detections,confidence_score_avg,frame_drop_rate_percent
2026-04-19T14:44:36.123,37.75,26.75,80.6,51.9,0.0,6,0.7195,9.29
2026-04-19T14:44:36.164,37.93,25.26,80.6,51.9,0.0,5,0.7943,9.26
2026-04-19T14:44:36.204,38.01,25.8,80.6,51.9,0.0,5,0.7951,9.23
2026-04-19T14:44:36.245,38.11,25.6,80.6,51.9,0.0,5,0.7333,9.2
2026-04-19T14:44:36.285,38.27,25.14,80.6,51.9,0.0,5,0.7097,9.17
2026-04-19T14:44:36.324,38.42,25.1,80.6,51.9,0.0,5,0.6474,9.13
2026-04-19T14:44:36.365,38.33,26.62,80.6,51.9,0.0,5,0.6581,9.11
2026-04-19T14:44:36.405,38.52,24.85,80.6,51.9,0.0,5,0.6894,9.08
2026-04-19T14:44:36.445,38.62,25.29,80.6,51.9,0.0,5,0.6773,9.05
2026-04-19T14:44:36.487,38.55,26.36,80.7,41.3,0.0,5,0.672,9.03
2026-04-19T14:44:36.528,38.55,25.96,80.7,41.3,0.0,5,0.6941,9.0
2026-04-19T14:44:36.567,38.65,25.23,80.7,41.3,0.0,5,0.7165,8.97
2026-04-19T14:44:36.609,38.5,26.86,80.7,41.3,0.0,4,0.6943,8.95
2026-04-19T14:44:36.649,38.58,25.49,80.7,41.3,0.0,3,0.7486,8.92
2026-04-19T14:44:36.689,38.7,25.12,80.7,41.3,0.0,4,0.6296,8.89
2026-04-19T14:44:36.730,38.67,26.05,80.7,41.3,0.0,3,0.6462,8.87
2026-04-19T14:44:36.770,38.71,25.56,80.7,41.3,0.0,2,0.7956,8.84
2026-04-19T14:44:36.809,38.87,24.76,80.7,41.3,0.0,2,0.6697,8.81
2026-04-19T14:44:36.850,38.88,25.69,80.7,41.3,0.0,2,0.5976,8.78
2026-04-19T14:44:36.889,38.95,25.22,80.7,41.3,0.0,1,0.8969,8.74
2026-04-19T14:44:36.928,39.04,25.07,80.7,41.3,0.0,2,0.6901,8.71
2026-04-19T14:44:36.969,38.94,26.33,80.2,43.2,0.0,2,0.6045,8.69
2026-04-19T14:44:37.010,38.93,25.69,80.2,43.2,0.0,2,0.6406,8.66
2026-04-19T14:44:37.050,39.02,25.1,80.2,43.2,0.0,2,0.6909,8.64
2026-04-19T14:44:37.090,39.04,25.49,80.2,43.2,0.0,3,0.5659,8.61
2026-04-19T14:44:37.130,39.09,25.34,80.2,43.2,0.0,2,0.6816,8.58
2026-04-19T14:44:37.170,39.15,25.17,80.2,43.2,0.0,4,0.474,8.55
2026-04-19T14:44:37.210,39.18,25.31,80.2,43.2,0.0,2,0.6051,8.53
2026-04-19T14:44:37.250,39.23,25.22,80.2,43.2,0.0,2,0.6603,8.5
2026-04-19T14:44:37.291,39.12,26.24,80.2,43.2,0.0,2,0.6769,8.48
2026-04-19T14:44:37.331,39.13,25.5,80.2,43.2,0.0,3,0.5822,8.45
2026-04-19T14:44:37.371,39.18,25.17,80.2,43.2,0.0,3,0.5682,8.42
2026-04-19T14:44:37.411,39.14,25.84,80.2,43.2,0.0,4,0.3524,8.4
2026-04-19T14:44:37.452,39.07,26.01,80.2,43.2,0.0,2,0.4043,8.38
2026-04-19T14:44:37.492,39.1,25.37,80.2,41.0,0.0,3,0.3377,8.35
2026-04-19T14:44:37.533,39.09,25.65,80.2,41.0,0.0,3,0.358,8.33
2026-04-19T14:44:37.573,38.87,27.02,80.2,41.0,0.0,2,0.3459,8.31
2026-04-19T14:44:37.615,38.68,26.97,80.2,41.0,0.0,4,0.436,8.3
2026-04-19T14:44:37.655,38.74,25.46,80.2,41.0,0.0,3,0.4878,8.27
2026-04-19T14:44:37.696,38.72,25.96,80.2,41.0,0.0,3,0.4694,8.25
2026-04-19T14:44:37.736,38.78,25.4,80.2,41.0,0.0,4,0.4872,8.23
2026-04-19T14:44:37.776,38.89,25.07,80.2,41.0,0.0,4,0.4851,8.2
2026-04-19T14:44:37.816,38.92,25.53,80.2,41.0,0.0,3,0.544,8.18
2026-04-19T14:44:37.856,38.97,25.35,80.2,41.0,0.0,4,0.5184,8.15
2026-04-19T14:44:37.897,38.81,26.71,80.2,41.0,0.0,3,0.4849,8.13
2026-04-19T14:44:37.938,38.76,26.11,80.2,41.0,0.0,3,0.4442,8.11
2026-04-19T14:44:37.978,38.83,25.34,80.3,38.0,0.0,3,0.5518,8.09
2026-04-19T14:44:38.019,38.77,26.13,80.3,38.0,0.0,4,0.3849,8.07
2026-04-19T14:44:38.059,38.83,25.37,80.3,38.0,0.0,4,0.3772,8.05
2026-04-19T14:44:38.099,38.94,25.06,80.3,38.0,0.0,4,0.3733,8.02
2026-04-19T14:44:38.139,38.89,25.99,80.3,38.0,0.0,6,0.446,8.0
